,College_ID,College_Name,CutOff_Ranks
0,5108,"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik",38617
1,5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",50417
2,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",22937
3,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",32662
4,5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",53420
5,5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",62679
6,5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",37793
7,5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",39672
8,5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",37829
9,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",36668
10,5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",34835
11,5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,  (Jain Gurukul), Neminagar,Chandwad,(Nashik)",51433
12,5176,"G. H. Raisoni College of Engineering and Management, Ahmednagar",84289
13,5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",80859
14,5179,"Vishwabharati Academy's College of Engineering, Ahmednagar",59772
15,5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",52670
16,5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",32066
17,5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",76658
18,5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",86676
19,5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",65050
20,5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",46250
21,5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",72194
22,5399,"Sanghavi College of Engineering, Varvandi, Nashik.",43272
23,5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",75253
24,5408,"Vidya Niketan College of Engineering, Bota Sangamner",76835
25,5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",86342
26,5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",64014
27,6004,"Government College of Engineering & Research, Avasari Khurd",12456
28,6006,"College of Engineering, Pune",1255
29,6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",86350
30,6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",86522
31,6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",32932
32,6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",39934
33,6146,"MIT Academy of Engineering,Alandi, Pune",16173
34,6149,"Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval",77715
35,6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",48052
36,6160,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",54833
37,6160,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",85727
38,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",12971
39,6176,"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune",86331
40,6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",32805
41,6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",50805
42,6179,"Indira College of Engineering & Management, Pune",75089
43,6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",85995
44,6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",83189
45,6187,"Sinhgad Academy of Engineering, Kondhwa (BK)  Kondhwa-Saswad Road, Pune",86733
46,6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",69340
47,6207,"Dr. D. Y. Patil Vidya Pratishthan Society Dr .D. Y. Patil Institute of Engineering & Technology, Pimpri,Pune",45456
48,6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",40070
49,6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",48387
50,6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",70739
51,6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",28635
52,6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",51428
53,6289,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",14178
54,6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",77452
55,6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",70199
56,6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",87078
57,6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",80753
58,6324,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",78636
59,6325,"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",23543
60,6609,"Jaihind College Of Engineering,Kuran",86104
61,6620,"D. Y. Patil Institute of Engineering and Technology, Ambi",80689
62,6628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",77441
63,6632,Navsahyadri Education Society's Group of Institutions,85375
64,6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",86552
65,6635,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",53775
66,6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",86534
67,6732,"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",58410
68,6755,"JSPM Narhe Technical Campus, Pune.",86681
69,6759,"Shree Ramchandra College of Engineering, Lonikand,Pune",68434
70,6768,"P.K. Technical Campus, Pune.",83588
71,6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",86401
72,6787,"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy, Ambi",82394
73,6794,"Anantrao Pawar College of Engineering & Research, Pune",84687
74,6795,"Shri.Someshwar Shikshan Prasarak Mandals, Someshwar Engineering College, Someshwar Nagar",81692
75,6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",59535
76,6802,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",46359
77,6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",41752
78,6834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",84073
